Season,HomeTeam,AwayTeam,FullTimeResult,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals
2024,Bor. M'gladbach,B. Leverkusen,A,2,3
2024,RB Leipzig,VfL Bochum,H,1,0
2024,TSG Hoffenheim,Holstein Kiel,H,3,2
2024,SC Freiburg,VfB Stuttgart,H,3,1
2024,FC Augsburg,Werder Bremen,D,2,2
2024,1.FSV Mainz 05,Union Berlin,D,1,1
2024,Bor. Dortmund,E. Frankfurt,H,2,0
2024,VfL Wolfsburg,Bayern Munich,A,2,3
2024,FC St. Pauli,Heidenheim,A,0,2
2024,Union Berlin,FC St. Pauli,H,1,0
2024,VfB Stuttgart,1.FSV Mainz 05,D,3,3
2024,E. Frankfurt,TSG Hoffenheim,H,3,1
2024,Werder Bremen,Bor. Dortmund,D,0,0
2024,VfL Bochum,Bor. M'gladbach,A,0,2
2024,Holstein Kiel,VfL Wolfsburg,A,0,2
2024,B. Leverkusen,RB Leipzig,A,2,3
2024,Heidenheim,FC Augsburg,H,4,0
2024,Bayern Munich,SC Freiburg,H,2,0
2024,Bor. Dortmund,Heidenheim,H,4,2
2024,RB Leipzig,Union Berlin,D,0,0
2024,TSG Hoffenheim,B. Leverkusen,A,1,4
2024,SC Freiburg,VfL Bochum,H,2,1
2024,VfL Wolfsburg,E. Frankfurt,A,1,2
2024,Bor. M'gladbach,VfB Stuttgart,A,1,3
2024,Holstein Kiel,Bayern Munich,A,1,6
2024,FC Augsburg,FC St. Pauli,H,3,1
2024,1.FSV Mainz 05,Werder Bremen,A,1,2
2024,FC Augsburg,1.FSV Mainz 05,A,2,3
2024,Heidenheim,SC Freiburg,A,0,3
2024,Werder Bremen,Bayern Munich,A,0,5
2024,Union Berlin,TSG Hoffenheim,H,2,1
2024,VfL Bochum,Holstein Kiel,D,2,2
2024,E. Frankfurt,Bor. M'gladbach,H,2,0
2024,B. Leverkusen,VfL Wolfsburg,H,4,3
2024,VfB Stuttgart,Bor. Dortmund,H,5,1
2024,FC St. Pauli,RB Leipzig,D,0,0
2024,Bor. Dortmund,VfL Bochum,H,4,2
2024,RB Leipzig,FC Augsburg,H,4,0
2024,SC Freiburg,FC St. Pauli,A,0,3
2024,VfL Wolfsburg,VfB Stuttgart,D,2,2
2024,1.FSV Mainz 05,Heidenheim,A,0,2
2024,Bor. M'gladbach,Union Berlin,H,1,0
2024,Bayern Munich,B. Leverkusen,D,1,1
2024,Holstein Kiel,E. Frankfurt,A,2,4
2024,TSG Hoffenheim,Werder Bremen,A,3,4
2024,FC Augsburg,Bor. M'gladbach,H,2,1
2024,B. Leverkusen,Holstein Kiel,D,2,2
2024,Werder Bremen,SC Freiburg,A,0,1
2024,Union Berlin,Bor. Dortmund,H,2,1
2024,VfL Bochum,VfL Wolfsburg,A,1,3
2024,FC St. Pauli,1.FSV Mainz 05,A,0,3
2024,Heidenheim,RB Leipzig,A,0,1
2024,E. Frankfurt,Bayern Munich,D,3,3
2024,VfB Stuttgart,TSG Hoffenheim,D,1,1
2024,Bor. Dortmund,FC St. Pauli,H,2,1
2024,B. Leverkusen,E. Frankfurt,H,2,1
2024,TSG Hoffenheim,VfL Bochum,H,3,1
2024,SC Freiburg,FC Augsburg,H,3,1
2024,1.FSV Mainz 05,RB Leipzig,A,0,2
2024,Bor. M'gladbach,Heidenheim,H,3,2
2024,Bayern Munich,VfB Stuttgart,H,4,0
2024,Holstein Kiel,Union Berlin,A,0,2
2024,VfL Wolfsburg,Werder Bremen,A,2,4
2024,1.FSV Mainz 05,Bor. M'gladbach,D,1,1
2024,VfB Stuttgart,Holstein Kiel,H,2,1
2024,RB Leipzig,SC Freiburg,H,3,1
2024,FC Augsburg,Bor. Dortmund,H,2,1
2024,FC St. Pauli,VfL Wolfsburg,D,0,0
2024,Werder Bremen,B. Leverkusen,D,2,2
2024,VfL Bochum,Bayern Munich,A,0,5
2024,Union Berlin,E. Frankfurt,D,1,1
2024,Heidenheim,TSG Hoffenheim,D,0,0
2024,B. Leverkusen,VfB Stuttgart,D,0,0
2024,Bayern Munich,Union Berlin,H,3,0
2024,E. Frankfurt,VfL Bochum,H,7,2
2024,TSG Hoffenheim,FC St. Pauli,A,0,2
2024,VfL Wolfsburg,FC Augsburg,D,1,1
2024,Holstein Kiel,Heidenheim,H,1,0
2024,Bor. Dortmund,RB Leipzig,H,2,1
2024,SC Freiburg,1.FSV Mainz 05,D,0,0
2024,Bor. M'gladbach,Werder Bremen,H,4,1
2024,Union Berlin,SC Freiburg,D,0,0
2024,Werder Bremen,Holstein Kiel,H,2,1
2024,1.FSV Mainz 05,Bor. Dortmund,H,3,1
2024,VfL Bochum,B. Leverkusen,D,1,1
2024,FC St. Pauli,Bayern Munich,A,0,1
2024,RB Leipzig,Bor. M'gladbach,D,0,0
2024,FC Augsburg,TSG Hoffenheim,D,0,0
2024,VfB Stuttgart,E. Frankfurt,A,2,3
2024,Heidenheim,VfL Wolfsburg,A,1,3
2024,Bayern Munich,FC Augsburg,H,3,0
2024,B. Leverkusen,Heidenheim,H,5,2
2024,VfB Stuttgart,VfL Bochum,H,2,0
2024,Bor. Dortmund,SC Freiburg,H,4,0
2024,TSG Hoffenheim,RB Leipzig,H,4,3
2024,VfL Wolfsburg,Union Berlin,H,1,0
2024,E. Frankfurt,Werder Bremen,H,1,0
2024,Holstein Kiel,1.FSV Mainz 05,A,0,3
2024,Bor. M'gladbach,FC St. Pauli,H,2,0
2024,FC St. Pauli,Holstein Kiel,H,3,1
2024,RB Leipzig,VfL Wolfsburg,A,1,5
2024,Werder Bremen,VfB Stuttgart,D,2,2
2024,SC Freiburg,Bor. M'gladbach,H,3,1
2024,FC Augsburg,VfL Bochum,H,1,0
2024,Union Berlin,B. Leverkusen,A,1,2
2024,Bor. Dortmund,Bayern Munich,D,1,1
2024,1.FSV Mainz 05,TSG Hoffenheim,H,2,0
2024,Heidenheim,E. Frankfurt,A,0,4
2024,VfB Stuttgart,Union Berlin,H,3,2
2024,B. Leverkusen,FC St. Pauli,H,2,1
2024,Bayern Munich,Heidenheim,H,4,2
2024,E. Frankfurt,FC Augsburg,D,2,2
2024,VfL Bochum,Werder Bremen,A,0,1
2024,Holstein Kiel,RB Leipzig,A,0,2
2024,Bor. M'gladbach,Bor. Dortmund,D,1,1
2024,VfL Wolfsburg,1.FSV Mainz 05,H,4,3
2024,TSG Hoffenheim,SC Freiburg,D,1,1
2024,SC Freiburg,VfL Wolfsburg,H,3,2
2024,FC Augsburg,B. Leverkusen,A,0,2
2024,1.FSV Mainz 05,Bayern Munich,H,2,1
2024,Bor. M'gladbach,Holstein Kiel,H,4,1
2024,Union Berlin,VfL Bochum,D,1,1
2024,FC St. Pauli,Werder Bremen,A,0,2
2024,Heidenheim,VfB Stuttgart,A,1,3
2024,Bor. Dortmund,TSG Hoffenheim,D,1,1
2024,RB Leipzig,E. Frankfurt,H,2,1
2024,Bayern Munich,RB Leipzig,H,5,1
2024,VfB Stuttgart,FC St. Pauli,A,0,1
2024,E. Frankfurt,1.FSV Mainz 05,A,1,3
2024,TSG Hoffenheim,Bor. M'gladbach,A,1,2
2024,Werder Bremen,Union Berlin,H,4,1
2024,Holstein Kiel,FC Augsburg,H,5,1
2024,B. Leverkusen,SC Freiburg,H,5,1
2024,VfL Bochum,Heidenheim,H,2,0
2024,VfL Wolfsburg,Bor. Dortmund,A,1,3
2024,Bor. Dortmund,B. Leverkusen,A,2,3
2024,TSG Hoffenheim,VfL Wolfsburg,A,0,1
2024,Heidenheim,Union Berlin,H,2,0
2024,SC Freiburg,Holstein Kiel,H,3,2
2024,1.FSV Mainz 05,VfL Bochum,H,2,0
2024,FC St. Pauli,E. Frankfurt,A,0,1
2024,Bor. M'gladbach,Bayern Munich,A,0,1
2024,RB Leipzig,Werder Bremen,H,4,2
2024,FC Augsburg,VfB Stuttgart,A,0,1
2024,Holstein Kiel,Bor. Dortmund,H,4,2
2024,B. Leverkusen,1.FSV Mainz 05,H,1,0
2024,E. Frankfurt,SC Freiburg,H,4,1
2024,VfL Wolfsburg,Bor. M'gladbach,H,5,1
2024,VfL Bochum,FC St. Pauli,H,1,0
2024,VfB Stuttgart,RB Leipzig,H,2,1
2024,Bayern Munich,TSG Hoffenheim,H,5,0
2024,Werder Bremen,Heidenheim,D,3,3
2024,Union Berlin,FC Augsburg,A,0,2
2024,E. Frankfurt,Bor. Dortmund,H,2,0
2024,VfB Stuttgart,SC Freiburg,H,4,0
2024,Bayern Munich,VfL Wolfsburg,H,3,2
2024,Heidenheim,FC St. Pauli,A,0,2
2024,VfL Bochum,RB Leipzig,D,3,3
2024,Holstein Kiel,TSG Hoffenheim,A,1,3
2024,B. Leverkusen,Bor. M'gladbach,H,3,1
2024,Union Berlin,1.FSV Mainz 05,H,2,1
2024,Werder Bremen,FC Augsburg,A,0,2
2024,VfL Wolfsburg,Holstein Kiel,D,2,2
2024,RB Leipzig,B. Leverkusen,D,2,2
2024,Bor. Dortmund,Werder Bremen,D,2,2
2024,SC Freiburg,Bayern Munich,A,1,2
2024,FC Augsburg,Heidenheim,H,2,1
2024,1.FSV Mainz 05,VfB Stuttgart,H,2,0
2024,Bor. M'gladbach,VfL Bochum,H,3,0
2024,TSG Hoffenheim,E. Frankfurt,D,2,2
2024,FC St. Pauli,Union Berlin,H,3,0
2024,Werder Bremen,1.FSV Mainz 05,H,1,0
2024,VfB Stuttgart,Bor. M'gladbach,A,1,2
2024,Bayern Munich,Holstein Kiel,H,4,3
2024,Heidenheim,Bor. Dortmund,A,1,2
2024,VfL Bochum,SC Freiburg,A,0,1
2024,FC St. Pauli,FC Augsburg,D,1,1
2024,Union Berlin,RB Leipzig,D,0,0
2024,E. Frankfurt,VfL Wolfsburg,D,1,1
2024,B. Leverkusen,TSG Hoffenheim,H,3,1
2024,Bayern Munich,Werder Bremen,H,3,0
2024,Bor. Dortmund,VfB Stuttgart,A,1,2
2024,TSG Hoffenheim,Union Berlin,A,0,4
2024,SC Freiburg,Heidenheim,H,1,0
2024,VfL Wolfsburg,B. Leverkusen,D,0,0
2024,1.FSV Mainz 05,FC Augsburg,D,0,0
2024,Bor. M'gladbach,E. Frankfurt,D,1,1
2024,Holstein Kiel,VfL Bochum,D,2,2
2024,RB Leipzig,FC St. Pauli,H,2,0
2024,FC Augsburg,RB Leipzig,D,0,0
2024,VfB Stuttgart,VfL Wolfsburg,A,1,2
2024,Union Berlin,Bor. M'gladbach,A,1,2
2024,VfL Bochum,Bor. Dortmund,H,2,0
2024,FC St. Pauli,SC Freiburg,A,0,1
2024,B. Leverkusen,Bayern Munich,D,0,0
2024,Werder Bremen,TSG Hoffenheim,A,1,3
2024,E. Frankfurt,Holstein Kiel,H,3,1
2024,Heidenheim,1.FSV Mainz 05,A,0,2
2024,SC Freiburg,Werder Bremen,H,5,0
2024,VfL Wolfsburg,VfL Bochum,D,1,1
2024,1.FSV Mainz 05,FC St. Pauli,H,2,0
2024,Bor. M'gladbach,FC Augsburg,A,0,3
2024,Holstein Kiel,B. Leverkusen,A,0,2
2024,Bor. Dortmund,Union Berlin,H,6,0
2024,RB Leipzig,Heidenheim,D,2,2
2024,Bayern Munich,E. Frankfurt,H,4,0
2024,TSG Hoffenheim,VfB Stuttgart,D,1,1
2024,VfB Stuttgart,Bayern Munich,A,1,3
2024,RB Leipzig,1.FSV Mainz 05,A,1,2
2024,Heidenheim,Bor. M'gladbach,A,0,3
2024,Werder Bremen,VfL Wolfsburg,A,1,2
2024,VfL Bochum,TSG Hoffenheim,A,0,1
2024,FC St. Pauli,Bor. Dortmund,A,0,2
2024,E. Frankfurt,B. Leverkusen,A,1,4
2024,Union Berlin,Holstein Kiel,,0,0
2024,FC Augsburg,SC Freiburg,,0,0
2024,Bor. M'gladbach,1.FSV Mainz 05,,0,0
2024,B. Leverkusen,Werder Bremen,,0,0
2024,Bayern Munich,VfL Bochum,,0,0
2024,Bor. Dortmund,FC Augsburg,,0,0
2024,VfL Wolfsburg,FC St. Pauli,,0,0
2024,Holstein Kiel,VfB Stuttgart,,0,0
2024,SC Freiburg,RB Leipzig,,0,0
2024,E. Frankfurt,Union Berlin,,0,0
2024,TSG Hoffenheim,Heidenheim,,0,0
2024,FC St. Pauli,TSG Hoffenheim,,0,0
2024,Werder Bremen,Bor. M'gladbach,,0,0
2024,FC Augsburg,VfL Wolfsburg,,0,0
2024,1.FSV Mainz 05,SC Freiburg,,0,0
2024,Union Berlin,Bayern Munich,,0,0
2024,RB Leipzig,Bor. Dortmund,,0,0
2024,VfL Bochum,E. Frankfurt,,0,0
2024,Heidenheim,Holstein Kiel,,0,0
2024,VfB Stuttgart,B. Leverkusen,,0,0
2024,B. Leverkusen,VfL Bochum,,0,0
2024,Bayern Munich,FC St. Pauli,,0,0
2024,TSG Hoffenheim,FC Augsburg,,0,0
2024,VfL Wolfsburg,Heidenheim,,0,0
2024,Bor. M'gladbach,RB Leipzig,,0,0
2024,Holstein Kiel,Werder Bremen,,0,0
2024,E. Frankfurt,VfB Stuttgart,,0,0
2024,SC Freiburg,Union Berlin,,0,0
2024,Bor. Dortmund,1.FSV Mainz 05,,0,0
2024,RB Leipzig,TSG Hoffenheim,,0,0
2024,Heidenheim,B. Leverkusen,,0,0
2024,Werder Bremen,E. Frankfurt,,0,0
2024,SC Freiburg,Bor. Dortmund,,0,0
2024,FC Augsburg,Bayern Munich,,0,0
2024,1.FSV Mainz 05,Holstein Kiel,,0,0
2024,Union Berlin,VfL Wolfsburg,,0,0
2024,VfL Bochum,VfB Stuttgart,,0,0
2024,FC St. Pauli,Bor. M'gladbach,,0,0
2024,B. Leverkusen,Union Berlin,,0,0
2024,VfB Stuttgart,Werder Bremen,,0,0
2024,Bayern Munich,Bor. Dortmund,,0,0
2024,E. Frankfurt,Heidenheim,,0,0
2024,TSG Hoffenheim,1.FSV Mainz 05,,0,0
2024,VfL Wolfsburg,RB Leipzig,,0,0
2024,Bor. M'gladbach,SC Freiburg,,0,0
2024,VfL Bochum,FC Augsburg,,0,0
2024,Holstein Kiel,FC St. Pauli,,0,0
2024,RB Leipzig,Holstein Kiel,,0,0
2024,Bor. Dortmund,Bor. M'gladbach,,0,0
2024,Heidenheim,Bayern Munich,,0,0
2024,Werder Bremen,VfL Bochum,,0,0
2024,SC Freiburg,TSG Hoffenheim,,0,0
2024,FC Augsburg,E. Frankfurt,,0,0
2024,1.FSV Mainz 05,VfL Wolfsburg,,0,0
2024,Union Berlin,VfB Stuttgart,,0,0
2024,FC St. Pauli,B. Leverkusen,,0,0
2024,B. Leverkusen,FC Augsburg,,0,0
2024,VfB Stuttgart,Heidenheim,,0,0
